PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),PSAL_ADJUSTED (psu),TEMP_ADJUSTED (degree_Celsius),PRES_ADJUSTED (decibar),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,PREDEPLOYMENT_CALIB_COEFFICIENT,PREDEPLOYMENT_CALIB_COMMENT,STATION_PARAMETERS,CALIBRATION_DATE,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1464,3.178,34.603,34.603,3.178,1463.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1466,3.173,34.604,34.604,3.173,1465.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1468,3.172,34.604,34.604,3.172,1467.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1470,3.172,34.604,34.604,3.172,1469.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1472,3.172,34.604,34.604,3.172,1471.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1474,3.17,34.605,34.605,3.17,1473.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1476,3.168,34.605,34.605,3.168,1475.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1478,3.167,34.605,34.605,3.167,1477.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1480,3.164,34.606,34.606,3.164,1479.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1482,3.163,34.606,34.606,3.163,1481.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1484,3.16,34.606,34.606,3.16,1483.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1486,3.157,34.606,34.606,3.157,1485.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1488,3.155,34.607,34.608,3.155,1487.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1490,3.145,34.608,34.608,3.145,1489.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
3901151,n/a,2015-03-05T05:42:13Z,-0.3210,-87.9320,1492,3.138,34.608,34.608,3.138,1491.8,00111111111,4750_0194_071,PRES,PRES_ADJUSTED = PRES - (REPORTED_SURFACE_PRESSURE) for PADJ,PADJ REPORTED_SURFACE_PRESSURE =0.2 dbar,Pressures adjusted using reported surface pressure when warranted.,PRES,05/03/2016 11:16:18,Primary sampling: averaged [1Hz sampling by SBE-41CP averaged in 2-dbar bins],71,1
