PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,STATION_PARAMETERS,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,59.96,19.796,35.305,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,62,19.318,35.3,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,64.04,18.896,35.267,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,66,18.667,35.261,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,68,18.12,35.238,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,70.04,17.809,35.208,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,72,17.333,35.161,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,74,17.072,35.137,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,75.96,16.919,35.13,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,77.96,16.749,35.118,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,79.96,16.528,35.109,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,82,16.431,35.113,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,84,16.317,35.111,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,85.96,16.11,35.093,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,87.96,15.864,35.074,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,89.96,15.596,35.06,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,92,15.411,35.052,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,94,15.219,35.044,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,96,15.117,35.039,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,98.04,15.055,35.035,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,100.04,14.968,35.032,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,102,14.857,35.027,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,104,14.815,35.025,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
3901233,n/a,2016-03-13T11:57:28Z,-5.0019,-85.0129,106,14.727,35.023,00111111,6712_007336_001,PRES,none,PRES,Primary sampling: averaged [nominal 2 dbar binned data sampled at 0.5 Hz from a SBE41CP],1,1
