PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),PSAL_ADJUSTED (psu),TEMP_ADJUSTED (degree_Celsius),PRES_ADJUSTED (decibar),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,PREDEPLOYMENT_CALIB_COEFFICIENT,PREDEPLOYMENT_CALIB_COMMENT,STATION_PARAMETERS,CALIBRATION_DATE,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1138.77,3.9281,34.5528,34.5528,3.9281,1138.64,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1148.64,3.9003,34.552,34.552,3.9003,1148.51,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1157.8,3.8611,34.5532,34.5532,3.8611,1157.67,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1168.19,3.8242,34.5537,34.5537,3.8242,1168.06,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1178.47,3.7916,34.5556,34.5556,3.7916,1178.34,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1187.87,3.7672,34.5558,34.5558,3.7672,1187.74,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1198.65,3.7169,34.5565,34.5565,3.7169,1198.52,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1208.2,3.6898,34.5579,34.5579,3.6898,1208.07,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1218.61,3.6684,34.5598,34.5598,3.6684,1218.48,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1228.17,3.6444,34.5618,34.5618,3.6444,1228.04,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1238.39,3.6339,34.5656,34.5656,3.6339,1238.26,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1248.6,3.6122,34.566,34.566,3.6122,1248.47,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1258.15,3.5831,34.5675,34.5675,3.5831,1258.02,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1268.32,3.569,34.5682,34.5682,3.569,1268.19,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1278.64,3.5357,34.5698,34.5698,3.5357,1278.51,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1288.36,3.5082,34.5702,34.5702,3.5082,1288.23,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
5904601,n/a,2016-06-25T16:52:22Z,-6.4810,-90.0000,1297.85,3.4955,34.5705,34.5705,3.4955,1297.72,00111111111,6111,PRES,PRES_ADJUSTED = PRES - surface_pressure,surface_pressure=0.13 dbar,Pressure adjusted at real time based on most recent valid surface pressure,PRES,26/06/2016 02:17:39,n/a,87,2
