PLATFORM,ARGOS_ID,DATE (YYYY-MM-DDTHH:MI:SSZ),LATITUDE (degree_north),LONGITUDE (degree_east),PRES (decibar),TEMP (degree_Celsius),PSAL (psu),QC,STATION_NUMBER,PARAMETER,PREDEPLOYMENT_CALIB_EQUATION,STATION_PARAMETERS,VERTICAL_SAMPLING_SCHEME,CONFIG_MISSION_NUMBER,PROFILE_NUMBER
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,80,18.358,35.151,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,81.96,18.35,35.149,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,84,18.325,35.149,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,86,18.299,35.145,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,87.96,18.265,35.143,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,89.96,18.182,35.148,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,92,17.936,35.151,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,94.04,17.879,35.152,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,96.04,17.818,35.148,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,98,17.785,35.142,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,100.04,17.745,35.138,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,102.04,17.678,35.141,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,104.04,17.63,35.148,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,106.04,17.528,35.148,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,108.04,17.445,35.14,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,110,17.312,35.138,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,112,17.183,35.126,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,114.04,17.091,35.117,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,116,17.038,35.112,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,118,16.961,35.108,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,119.96,16.926,35.093,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,121.96,16.885,35.098,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,123.96,16.637,35.075,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,126,16.471,35.066,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,128,16.337,35.047,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,130,16.259,35.053,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,132.04,16.139,35.044,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,134.04,16.044,35.042,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,136.04,15.846,35.045,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,138,15.781,35.036,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,139.96,15.772,35.036,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,141.96,15.77,35.036,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,144,15.768,35.036,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,146.08,15.766,35.035,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,148.04,15.761,35.035,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,150,15.752,35.035,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,152,15.734,35.033,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,153.96,15.674,35.037,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,155.96,15.578,35.03,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,157.92,15.496,35.024,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
3901265,n/a,2016-03-16T06:07:05Z,-0.4202,-85.0693,160,15.4,35.02,00111111,6566_010026_001,PRES,none,PRES,Primary sampling: averaged [nominal   2 dbar binned data sampled at 1.0 Hz from a SBE41CP; bin detail from 0 dbar (number bins/bin width):   10/  1; 490/  2;remaining/  2],1,1
